$FrameId	0	10000
PGLUCISOM-RXN	18.909792069999998	18.50084322
6PFRUCTPHOS-RXN	0.0006232453	-1561.3676814906999
F16BDEPHOS-RXN	-20.37028507	-20.822572479999998
F16ALDOLASE-RXN	18.90239114	14.00868412
TRIOSEPISOMERIZATION-RXN	-18.90279226	-13.98916629
GAPOXNPHOSPHN-RXN	37.94577	25.564147039999998
PHOSGLYPHOS-RXN	-36.51585523	-36.51585523
RXN-15513	-36.44051865000001	-36.44050865
2PGADEHYDRAT-RXN	36.44027848	36.43917765
PEPDEPHOS-RXN	-2.4375639999999997e-05	41025.67998781255
PEPSYNTH-RXN	3.136898e-08	1.045601e-08
2-PG	-1.4467953905741762	-1.4467953905741762
G3P	4.528935477008886	4.528935477008886
DPG	7.685480712217342	7.685480712217342
ADP	-7.487573774235079	-7.487573774235079
AMP	-inf	-inf
ATP	-4.6459920763416855	-4.6459920763416855
FRUCTOSE-6P	-15.017638731335149	-14.995779856591
D-glucopyranose-6-phosphate	-11.512961065603923	-11.512961065603923
GAP	-14.556653528292559	-14.257711022285545
FRUCTOSE-16-DIPHOSPHATE	1.0509922396468554	1.0509922396468554
DIHYDROXY-ACETONE-PHOSPHATE	-10.872838929115435	-10.87353988572043
PROTON	-inf	-20.216135632840565
NAD	-5.95224344933939	-5.95224344933939
NADH	-9.39667754055793	-9.39667754055793
Pi	-3.912023005428146	-3.912023005428146
PHOSPHO-ENOL-PYRUVATE	-3.66649897586189	-3.6664684668423657
PYRUVATE	10.719617559710453	10.719617559710453
